Original,Mini-Major,Major
Broad Green Pictures,0,0
CBS Films,1,0
Castle Rock Entertainment,1,0
Chicago Releasing,0,0
Cinegalaxy,0,0
Cinelou Films,0,0
City Lights Pictures,0,0
Clarius Entertainment,0,0
Clean Slate Films,0,0
Cohen Media Group,0,0
Crane Movie Company,0,0
D Films,0,0
DJ Films,0,0
Dada Films,0,0
Dark Sky Films,0,0
Dharma Productions,0,0
Dimension Films,0,0
DistriB Films,0,0
E1 Entertainment,0,0
Echolight Studios,0,0
Element Pictures,0,0
Embargo Films,0,0
Every Tribe Entertainment,0,0
Evokative Films,0,0
Exhibition On Screen,0,0
FIP,0,0
Film4,0,0
FilmDistrict,0,0
Fine Line Features,0,0
Fingerprint Releasing / Bleecker Street,0,0
Fox Atomic,0,0
Fox International,0,0
Fox Walden,0,0
Fuego Films,0,0
G-Kids,0,0
GKIDS,0,0
Gener8Xion Entertainment,0,0
Ghost House Pictures,0,0
Gold Circle Films,0,0
Good Deed Entertainment,0,0
Gramercy Pictures,0,0
Gravitas Ventures,0,0
Gunpowder & Sky,0,0
HBO Films,0,1
Halestorm Entertainment,0,0
Hannover House,0,0
Harbinger Pictures,0,0
High Top Releasing,0,0
Home Box Office (HBO),0,1
Hope Productions,0,0
Hurricane Films,0,0
IDP,0,0
IDP Distribution,0,0
IDP Films,0,0
IDP/ Samuel Goldwyn Films,0,0
IDP/ATO,0,0
IDP/Samuel goldwyn Films,0,0
IFC,0,0
IMAX,0,0
IPD/Samuel Goldwyn Films,0,0
Icon Entertainment,0,0
Ideaman Studios,0,0
Illumination Entertainment,0,0
Image Entertainment,0,0
Inception Media Group,0,0
Indican Pictures,0,0
IndieVest Pictures,0,0
Inspired Entertainment,0,0
Iris Productions,0,0
James Patterson Entertainment,0,0
Jorva Entertainment Productions,0,0
Keep Your Head,0,0
Ketchup Entertainment,0,0
Kino Lorber,0,0
Kissiki Film,0,0
LD Entertainment,0,0
Lakeshore Entertainment,0,0
Last Cab Holdings,0,0
Les Productions du Trésor,0,0
Liberty Studios,0,0
Likely Story,0,0
Liongate Films,1,0
Lot 47 Films,0,0
MGM,1,0
MGM Distribution Company,1,0
MGM Pictures,1,0
MGM/Dimension,1,0
MPI Media,0,0
MTV Films,0,0
Main Street Films,0,0
Manhattan Pictures International,0,0
Maven Pictures,0,0
Mayfan,0,0
Media Partners,0,0
Milennium Entertainment,0,0
Monterey Media,0,0
Mulberry Square Releasing,0,0
Myriad Pictures,0,0
NEON,0,0
Nadiadwala Grandson Entertainment,0,0
NeoClassics Films,0,0
Net Effect Media,0,0
Netflix,0,0
Newmarket Films,0,0
Next Gen Films,0,0
Noor Pictures,0,0
Occupant Entertainment,0,0
Ombra Films,0,0
Optimum Releasing,0,0
Palm Pictures,0,0
Pantelion Films,0,0
Participant Media,0,0
Parts and Labor,0,0
Petit Film,0,0
Phase 4 Films,0,0
PureFlix,0,0
Pyramide Productions,0,0
RCR Distribution,0,0
RLJ Entertainment,0,0
RLJ/Image Entertainment,0,0
Radio London Films,0,0
Rajkumar Hirani Films,0,0
Rajshri Productions,0,0
RatPac-Dune Entertainment,0,0
Red Flag Releasing,0,0
Regent Releasing,0,0
Revolver Entertainment,0,0
Rita Productions,0,0
Riverstone Pictures,0,0
Rocky Mountain Pictures,0,0
SBS Productions,0,0
SLB Films,0,0
SModcast Pictures,0,0
STX Entertainment,1,0
STXfilms,1,0
Saban Films,0,0
Salman Khan Films,0,0
Scope Pictures,0,0
Scott Free Films,0,0
See-Saw Films,0,0
Senator Entertainment,0,0
Shout! Factory,0,0
Skydance Films,0,0
Soda Pictures Ltd.,0,0
Soft Tread Enterprises,0,0
Sony,0,0
Steamboat Rock,0,0
Strand Releasing,0,0
Strategic Films,0,0
StudioCanal,0,0
Sundance Selects,0,0
Swan Design Studios,0,0
TLA Releasing,0,0
TSG Pictures,0,0
TVA International,0,0
Ten Furlongs LLC.,0,0
The Cinema Guild,0,0
The Orchard,0,0
Tri-Star Pictures,1,0
Tribeca Films,0,0
Trinity Works Entertainment,0,0
Twentieth Century Fox,0,1
USA Films,0,0
UTV,0,0
UTV Communications,0,0
UTV Distribution,0,0
UTV Motion Pictures,0,0
UrbanWorks Entertainment,0,0
Variance Films,0,0
Vishal Bhardwaj Pictures,0,0
Visible Pictures,0,0
Vitagraph Films,0,0
Vivendi Entertainment,0,0
WB,0,0
Well Go USA,0,0
Wellington Films,0,0
Wellspring,0,0
Westerly Films,0,0
Wigwam Films,0,0
Wolfe Releasing,0,0
Wonder Films,0,0
Working Title,0,0
Wrekin Hill Entertainment,0,0
X-Filme Creative Pool,0,0
XYZ Films,0,0
Yash Raj Films,0,0
Yong Film,0,0
Zeitgeist Films,0,0
eOne,0,0
